frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
250,1,"(2052.038050322359, 1177.9149316623677, 2593.3195210887548, 1644.0015812661206)","(2213.2533174402574, 1446.664737477022, 2443.047535615809, 1558.2251263786766)",0,0,0
251,1,"(2051.8072536111445, 1179.7838657610234, 2594.012876234041, 1646.5398526453334)","(2215.234489889706, 1449.07761517693, 2443.772403492647, 1560.5868637982537)",0,0,0
252,1,"(2051.57645689993, 1181.6527998596791, 2594.706231379327, 1649.0781240245462)","(2217.2156623391543, 1451.4904928768383, 2444.497271369485, 1562.9486012178309)",0,0,0
253,1,"(2051.345660188715, 1183.521733958335, 2595.3995865246134, 1651.616395403759)","(2219.196834788603, 1453.9033705767463, 2445.2221392463234, 1565.310338637408)",0,0,0
254,1,"(2051.1148634775004, 1185.3906680569908, 2596.0929416699, 1654.1546667829716)","(2221.1780072380516, 1456.3162482766545, 2445.9470071231617, 1567.6720760569854)",0,0,0
255,1,"(2050.8840667662857, 1187.2596021556465, 2596.7862968151862, 1656.6929381621844)","(2223.1591796875, 1458.7291259765625, 2446.671875, 1570.0338134765625)",0.27871859073638916,AP05JEO,0.43224743989823555
256,1,"(2051.0761767674044, 1189.2118064542667, 2596.7718262552607, 1659.8412736654625)","(2220.4090983072915, 1459.1960856119792, 2453.0201009114585, 1572.590576171875)",0,0,0
257,1,"(2051.2682867685235, 1191.1640107528867, 2596.7573556953353, 1662.9896091687408)","(2217.6590169270835, 1459.6630452473958, 2459.3683268229165, 1575.1473388671875)",0,0,0
258,1,"(2051.460396769642, 1193.116215051507, 2596.74288513541, 1666.1379446720189)","(2214.908935546875, 1460.1300048828125, 2465.716552734375, 1577.7041015625)",0.259859561920166,AP05JEO,0.3779255506495702
259,1,"(2051.0408107367125, 1193.9086595197596, 2596.7902942728592, 1667.5580865300549)","(2214.83154296875, 1460.1324462890625, 2465.81591796875, 1577.706298828125)",0.2591876983642578,AP05JEO,0.3779255506495702
260,1,"(2050.6323378219126, 1195.9186311799801, 2598.005601550107, 1669.8991714475408)","(2215.955352783203, 1462.6579818725586, 2466.8914794921875, 1579.6793823242188)",0,0,0
261,1,"(2050.223864907113, 1197.9286028402007, 2599.220908827354, 1672.2402563650267)","(2217.0791625976562, 1465.1835174560547, 2467.967041015625, 1581.6524658203125)",0,0,0
262,1,"(2049.8153919923134, 1199.9385745004213, 2600.4362161046015, 1674.5813412825125)","(2218.2029724121094, 1467.7090530395508, 2469.0426025390625, 1583.6255493164062)",0,0,0
263,1,"(2049.4069190775135, 1201.9485461606419, 2601.6515233818486, 1676.9224261999984)","(2219.3267822265625, 1470.2345886230469, 2470.1181640625, 1585.5986328125)",0,0,0
264,1,"(2048.9984461627137, 1203.9585178208624, 2602.866830659096, 1679.2635111174843)","(2220.4505920410156, 1472.760124206543, 2471.1937255859375, 1587.5717163085938)",0,0,0
265,1,"(2048.589973247914, 1205.968489481083, 2604.0821379363433, 1681.6045960349702)","(2221.5744018554688, 1475.285659790039, 2472.269287109375, 1589.5447998046875)",0,0,0
266,1,"(2048.1815003331144, 1207.9784611413036, 2605.297445213591, 1683.945680952456)","(2222.698211669922, 1477.8111953735352, 2473.3448486328125, 1591.5178833007812)",0,0,0
267,1,"(2047.7730274183145, 1209.9884328015241, 2606.5127524908385, 1686.286765869942)","(2223.822021484375, 1480.3367309570312, 2474.42041015625, 1593.490966796875)",0,0,0
268,1,"(2047.3645545035147, 1211.998404461745, 2607.7280597680856, 1688.627850787428)","(2224.945831298828, 1482.8622665405273, 2475.4959716796875, 1595.4640502929688)",0,0,0
269,1,"(2046.9560815887148, 1214.0083761219655, 2608.943367045333, 1690.968935704914)","(2226.0696411132812, 1485.3878021240234, 2476.571533203125, 1597.4371337890625)",0,0,0
270,1,"(2046.5476086739152, 1216.018347782186, 2610.1586743225803, 1693.3100206223999)","(2227.1934509277344, 1487.9133377075195, 2477.6470947265625, 1599.4102172851562)",0,0,0
271,1,"(2046.1391357591153, 1218.0283194424067, 2611.373981599828, 1695.6511055398857)","(2228.3172607421875, 1490.4388732910156, 2478.72265625, 1601.38330078125)",0,0,0
272,1,"(2045.7306628443157, 1220.0382911026272, 2612.589288877075, 1697.9921904573716)","(2229.4410705566406, 1492.9644088745117, 2479.7982177734375, 1603.3563842773438)",0,0,0
273,1,"(2045.3221899295158, 1222.0482627628478, 2613.8045961543226, 1700.3332753748575)","(2230.5648803710938, 1495.4899444580078, 2480.873779296875, 1605.3294677734375)",0,0,0
274,1,"(2044.9137170147162, 1224.0582344230684, 2615.0199034315697, 1702.6743602923434)","(2231.688690185547, 1498.015480041504, 2481.9493408203125, 1607.3025512695312)",0,0,0
275,1,"(2044.5052440999164, 1226.068206083289, 2616.2352107088172, 1705.0154452098293)","(2232.8125, 1500.541015625, 2483.02490234375, 1609.275634765625)",0.31816521286964417,AP05JEO,0.6215841437305597
276,1,"(2047.804437300582, 1228.956280544647, 2618.5770784737815, 1707.8871193194934)","(2219.3291015625, 1505.906982421875, 2491.0146484375, 1626.3980712890625)",0.3436442017555237,AP05JEO,0.23840400164891792
277,1,"(2049.0796108637305, 1229.9757832609648, 2619.2512026811146, 1708.88120244111)","(2219.24267578125, 1505.777587890625, 2491.400390625, 1626.48828125)",0.3423193097114563,AP05JEO,0.23840400164891792
278,1,"(2051.8891139212196, 1231.276268049704, 2620.9462001975867, 1711.1504226429724)","(2222.0042724609375, 1507.96826171875, 2490.910400390625, 1627.80615234375)",0,0,0
279,1,"(2054.6986169787087, 1232.5767528384429, 2622.6411977140588, 1713.4196428448352)","(2224.765869140625, 1510.158935546875, 2490.42041015625, 1629.1240234375)",0.36992770433425903,AP05JEO,0.4198440602697927
280,1,"(2052.582205556266, 1232.5782985069986, 2623.331057508892, 1716.5374110542493)","(2236.3994140625, 1515.9473876953125, 2447.521484375, 1619.4327392578125)",0.29281455278396606,AP05JEO,0.4735596705031161
281,1,"(2050.835083747644, 1234.0474899734759, 2623.830010843849, 1720.0247974206143)","(2233.0004069010415, 1516.3607177734375, 2455.3285319010415, 1622.701416015625)",0,0,0
282,1,"(2049.0879619390225, 1235.5166814399531, 2624.328964178805, 1723.5121837869794)","(2229.6013997395835, 1516.7740478515625, 2463.1355794270835, 1625.9700927734375)",0,0,0
283,1,"(2047.3408401304005, 1236.9858729064304, 2624.827917513762, 1726.9995701533444)","(2226.202392578125, 1517.1873779296875, 2470.942626953125, 1629.23876953125)",0,0,0
284,1,"(2045.5937183217784, 1238.4550643729076, 2625.3268708487185, 1730.4869565197093)","(2222.8033854166665, 1517.6007080078125, 2478.7496744791665, 1632.5074462890625)",0,0,0
285,1,"(2043.8465965131563, 1239.9242558393848, 2625.8258241836747, 1733.9743428860745)","(2219.4043782552085, 1518.0140380859375, 2486.5567220052085, 1635.776123046875)",0,0,0
286,1,"(2042.0994747045345, 1241.393447305862, 2626.3247775186314, 1737.4617292524395)","(2216.00537109375, 1518.4273681640625, 2494.36376953125, 1639.0447998046875)",0.3292884826660156,AP05JEO,0.8806607962645397
287,1,"(2044.3265474353793, 1243.6721589103804, 2629.857932775596, 1742.08223481897)","(2230.83154296875, 1525.0519409179688, 2485.547119140625, 1641.3103637695312)",0,0,0
288,1,"(2046.5536201662244, 1245.9508705148987, 2633.39108803256, 1746.7027403855004)","(2245.65771484375, 1531.676513671875, 2476.73046875, 1643.575927734375)",0.27982762455940247,AP05JEO,0.38548837123621477
289,1,"(2046.689052150336, 1246.6091570469555, 2634.905410337244, 1748.7082004685801)","(2245.319091796875, 1531.8204345703125, 2476.477294921875, 1643.5843505859375)",0.2786193788051605,AP05JEO,0.38548837123621477
290,1,"(2047.344979620598, 1250.309320616105, 2637.1247143722017, 1751.971171215566)","(2236.6689453125, 1531.072998046875, 2487.7392578125, 1646.5528564453125)",0.3809840679168701,AP05JEO,0.49372482877353163
291,1,"(2047.5590688613795, 1253.2341021864413, 2638.9360587647516, 1755.8157459015815)","(2223.8740234375, 1528.96728515625, 2487.044189453125, 1655.70263671875)",0.3929447531700134,AP05JEO,0.3433279079667676
292,1,"(2047.7856686269402, 1255.2959002263415, 2640.365761403202, 1758.8829450042376)","(2223.481131417411, 1533.4159633091517, 2489.087472098214, 1659.7120186941963)",0,0,0
293,1,"(2048.012268392501, 1257.3576982662416, 2641.7954640416533, 1761.950144106894)","(2223.0882393973216, 1537.8646414620537, 2491.1307547433034, 1663.721400669643)",0,0,0
294,1,"(2048.2388681580615, 1259.4194963061418, 2643.225166680104, 1765.01734320955)","(2222.6953473772323, 1542.3133196149554, 2493.1740373883927, 1667.7307826450892)",0,0,0
295,1,"(2048.465467923622, 1261.4812943460418, 2644.654869318555, 1768.0845423122064)","(2222.3024553571427, 1546.761997767857, 2495.2173200334823, 1671.7401646205358)",0,0,0
296,1,"(2048.6920676891827, 1263.543092385942, 2646.0845719570057, 1771.1517414148625)","(2221.9095633370534, 1551.2106759207588, 2497.2606026785716, 1675.749546595982)",0,0,0
297,1,"(2048.9186674547436, 1265.604890425842, 2647.5142745954568, 1774.2189405175188)","(2221.516671316964, 1555.6593540736608, 2499.303885323661, 1679.7589285714287)",0,0,0
298,1,"(2049.145267220304, 1267.6666884657423, 2648.9439772339074, 1777.286139620175)","(2221.123779296875, 1560.1080322265625, 2501.34716796875, 1683.768310546875)",0.3442688286304474,AP05JEO,0.3170087031444013
299,1,"(2050.06812650396, 1269.7633210104455, 2656.648156864841, 1780.3459045487402)","(2226.40673828125, 1557.123779296875, 2500.93408203125, 1681.062744140625)",0.3839121460914612,AP05JEO,0.28602666395251414
300,1,"(2049.3751724372173, 1271.8545597316072, 2656.855894431695, 1783.1630091895545)","(2225.4704241071427, 1558.842982700893, 2502.4778180803573, 1685.6200299944196)",0,0,0
301,1,"(2048.6822183704753, 1273.9457984527687, 2657.063631998549, 1785.9801138303685)","(2224.534109933036, 1560.5621861049108, 2504.021554129464, 1690.1773158482142)",0,0,0
302,1,"(2047.989264303733, 1276.0370371739305, 2657.2713695654033, 1788.7972184711828)","(2223.5977957589284, 1562.2813895089287, 2505.5652901785716, 1694.7346017020088)",0,0,0
303,1,"(2047.2963102369906, 1278.128275895092, 2657.479107132258, 1791.614323111997)","(2222.6614815848216, 1564.0005929129463, 2507.1090262276784, 1699.2918875558037)",0,0,0
304,1,"(2046.6033561702484, 1280.2195146162537, 2657.686844699112, 1794.4314277528113)","(2221.725167410714, 1565.7197963169642, 2508.652762276786, 1703.8491734095983)",0,0,0
305,1,"(2045.9104021035062, 1282.3107533374152, 2657.894582265966, 1797.2485323936253)","(2220.7888532366073, 1567.438999720982, 2510.1964983258927, 1708.406459263393)",0,0,0
306,1,"(2045.217448036764, 1284.401992058577, 2658.1023198328203, 1800.0656370344395)","(2219.8525390625, 1569.158203125, 2511.740234375, 1712.9637451171875)",0.31328821182250977,AP05JEO,0.7057227030286789
307,1,"(2044.423818742209, 1285.1832702100544, 2658.140036150956, 1801.5969193541353)","(2219.8486328125, 1569.20947265625, 2511.96142578125, 1712.98388671875)",0.3137427568435669,AP05JEO,0.5956764314360301
308,1,"(2044.6317608348868, 1285.314733601405, 2661.382753243011, 1803.246016071787)","(2234.88232421875, 1582.969970703125, 2502.93212890625, 1705.5986328125)",0.29888802766799927,AP05JEO,0.6364450761968186
309,1,"(2045.7634376090173, 1286.6729276483632, 2664.276992255449, 1805.7532817470421)","(2237.3076171875, 1580.52734375, 2510.727783203125, 1699.33056640625)",0.33422499895095825,AP05JEO,0.4761443741378145
310,1,"(2047.1862877039052, 1290.110962636913, 2664.9883524815214, 1809.3172113399996)","(2234.1957194010415, 1581.7355143229167, 2513.3756103515625, 1706.0830485026042)",0,0,0
311,1,"(2048.609137798793, 1293.5489976254628, 2665.6997127075942, 1812.8811409329574)","(2231.0838216145835, 1582.9436848958333, 2516.0234375, 1712.8355305989583)",0,0,0
312,1,"(2050.0319878936807, 1296.9870326140126, 2666.411072933667, 1816.445070525915)","(2227.971923828125, 1584.15185546875, 2518.6712646484375, 1719.5880126953125)",0,0,0
313,1,"(2051.4548379885687, 1300.4250676025622, 2667.1224331597396, 1820.0090001188726)","(2224.8600260416665, 1585.3600260416667, 2521.319091796875, 1726.3404947916667)",0,0,0
314,1,"(2052.8776880834566, 1303.863102591112, 2667.833793385812, 1823.57292971183)","(2221.7481282552085, 1586.5681966145833, 2523.9669189453125, 1733.0929768880208)",0,0,0
315,1,"(2054.3005381783446, 1307.3011375796618, 2668.545153611885, 1827.1368593047878)","(2218.63623046875, 1587.7763671875, 2526.61474609375, 1739.845458984375)",0.3394330143928528,AP05JEO,0.5849705592336092
316,1,"(2050.534567997377, 1307.6949058599955, 2667.028529586909, 1827.880420995327)","(2224.34521484375, 1602.167724609375, 2523.02587890625, 1729.021728515625)",0.49018704891204834,AP05JEO,0.12681573798017562
317,1,"(2045.4967698658643, 1308.9063648992349, 2665.3229070304583, 1830.036567771191)","(2237.357666015625, 1602.167236328125, 2526.85986328125, 1729.649658203125)",0.43088769912719727,AP05JEO,0.34320524545154757
318,1,"(2046.8340205712886, 1311.3244912422347, 2666.2280510766736, 1833.262086597204)","(2236.8790283203125, 1605.744384765625, 2528.0982666015625, 1734.2671305338542)",0,0,0
319,1,"(2048.171271276713, 1313.7426175852345, 2667.133195122889, 1836.4876054232172)","(2236.400390625, 1609.321533203125, 2529.336669921875, 1738.8846028645833)",0,0,0
320,1,"(2049.5085219821376, 1316.1607439282343, 2668.038339169104, 1839.7131242492305)","(2235.9217529296875, 1612.898681640625, 2530.5750732421875, 1743.5020751953125)",0,0,0
321,1,"(2050.8457726875617, 1318.5788702712343, 2668.9434832153192, 1842.9386430752436)","(2235.443115234375, 1616.475830078125, 2531.8134765625, 1748.1195475260417)",0,0,0
322,1,"(2052.183023392986, 1320.9969966142341, 2669.8486272615346, 1846.1641619012566)","(2234.9644775390625, 1620.052978515625, 2533.0518798828125, 1752.7370198567708)",0,0,0
323,1,"(2053.5202740984105, 1323.415122957234, 2670.75377130775, 1849.38968072727)","(2234.48583984375, 1623.630126953125, 2534.290283203125, 1757.3544921875)",0.354470819234848,AP05JEO,0.5091042048922733
324,1,"(2049.5119410673046, 1325.2457169402555, 2671.8341359819246, 1853.6000704232106)","(2232.2177734375, 1634.72314453125, 2534.6201171875, 1757.712158203125)",0.30639633536338806,AP05JEO,0.5688787256297546
325,1,"(2047.055938934319, 1325.4760844219431, 2672.9064204764345, 1855.5177329848448)","(2232.1962890625, 1634.7099609375, 2534.558349609375, 1757.7132568359375)",0.30673447251319885,AP05JEO,0.5688787256297546
326,1,"(2051.3372625926863, 1327.682749516572, 2675.823136363794, 1859.5604977100738)","(2233.44111328125, 1634.6657958984374, 2532.49462890625, 1761.5129150390626)",0,0,0
327,1,"(2055.618586251054, 1329.8894146112007, 2678.739852251154, 1863.603262435303)","(2234.6859375, 1634.621630859375, 2530.430908203125, 1765.3125732421875)",0,0,0
328,1,"(2059.8999099094212, 1332.0960797058292, 2681.656568138513, 1867.646027160532)","(2235.93076171875, 1634.5774658203125, 2528.3671875, 1769.1122314453125)",0,0,0
329,1,"(2064.1812335677887, 1334.302744800458, 2684.573284025873, 1871.688791885761)","(2237.1755859375, 1634.53330078125, 2526.303466796875, 1772.9118896484374)",0,0,0
330,1,"(2068.462557226156, 1336.5094098950867, 2687.4899999132326, 1875.73155661099)","(2238.42041015625, 1634.4891357421875, 2524.23974609375, 1776.7115478515625)",0.5015236139297485,AP05JEO,0.24241163142894456
331,1,"(2072.63425551003, 1336.8316364380328, 2688.061450061119, 1877.717606722514)","(2238.32275390625, 1634.486083984375, 2524.2646484375, 1776.840576171875)",0.5016510486602783,AP05JEO,0.21624073266838909
332,1,"(2070.1834952676027, 1340.7048137695117, 2686.6874746374106, 1881.8024684804682)","(2239.7609049479165, 1638.6003824869792, 2520.64111328125, 1777.3205159505208)",0,0,0
333,1,"(2067.7327350251753, 1344.5779911009909, 2685.313499213702, 1885.8873302384225)","(2241.1990559895835, 1642.7146809895833, 2517.017578125, 1777.8004557291667)",0,0,0
334,1,"(2065.281974782748, 1348.4511684324698, 2683.9395237899935, 1889.9721919963768)","(2242.63720703125, 1646.8289794921875, 2513.39404296875, 1778.2803955078125)",0.38103723526000977,AP05JEO,0.3957339817250136
335,1,"(2064.285986748314, 1351.4482847698255, 2685.895620662989, 1892.8341915268538)","(2246.908935546875, 1666.9259033203125, 2538.30810546875, 1788.6990966796875)",0.2746705412864685,AP05JEO,0.3392125099923723
336,1,"(2068.1027913560583, 1352.8807920089353, 2688.1154040038014, 1894.1522980147852)","(2244.3818969726562, 1665.7248229980469, 2541.797119140625, 1794.0759887695312)",0,0,0
337,1,"(2071.9195959638027, 1354.313299248045, 2690.3351873446136, 1895.4704045027165)","(2241.8548583984375, 1664.5237426757812, 2545.2861328125, 1799.452880859375)",0,0,0
338,1,"(2075.736400571547, 1355.745806487155, 2692.554970685426, 1896.7885109906476)","(2239.3278198242188, 1663.3226623535156, 2548.775146484375, 1804.8297729492188)",0,0,0
339,1,"(2079.5532051792916, 1357.1783137262648, 2694.774754026238, 1898.106617478579)","(2236.80078125, 1662.12158203125, 2552.26416015625, 1810.2066650390625)",0.500259518623352,AP05JED,0.26134469874361427
340,1,"(2082.447239457757, 1360.0491883059462, 2696.6833550870115, 1900.0146312150382)","(2242.2294921875, 1680.047119140625, 2540.91259765625, 1805.839111328125)",0.41178569197654724,AP05JED,0.27052238296732606
341,1,"(2085.092173412899, 1365.3831622018804, 2697.4918230414887, 1903.491705562156)","(2246.47607421875, 1671.07373046875, 2535.117919921875, 1808.19091796875)",0.2765063941478729,AP05JEL,0.14253908887868347
342,1,"(2086.3948197229165, 1369.6285013640008, 2697.9275004155243, 1908.3956601949458)","(2252.833740234375, 1670.6832275390625, 2544.498046875, 1813.8145751953125)",0.3145858645439148,AP05JET,0.11509095779869642
343,1,"(2082.761575811005, 1372.4225289263711, 2699.332784656309, 1912.6465140669436)","(2257.2682291666665, 1675.9564208984375, 2546.0724283854165, 1817.1646728515625)",0,0,0
344,1,"(2079.1283318990936, 1375.2165564887416, 2700.7380688970934, 1916.8973679389417)","(2261.7027180989585, 1681.2296142578125, 2547.6468098958335, 1820.5147705078125)",0,0,0
345,1,"(2075.495087987182, 1378.010584051112, 2702.143353137878, 1921.1482218109395)","(2266.13720703125, 1686.5028076171875, 2549.22119140625, 1823.8648681640625)",0.29591575264930725,AP05JEO,0.3913028320502151
346,1,"(2078.883813984504, 1380.9099396402585, 2704.5090486358195, 1924.9434558599355)","(2267.06103515625, 1690.835693359375, 2540.786376953125, 1822.0087890625)",0,0,0
347,1,"(2082.272539981826, 1383.809295229405, 2706.8747441337614, 1928.7386899089315)","(2267.98486328125, 1695.1685791015625, 2532.3515625, 1820.1527099609375)",0,0,0
348,1,"(2085.6612659791476, 1386.7086508185516, 2709.240439631703, 1932.5339239579275)","(2268.90869140625, 1699.50146484375, 2523.916748046875, 1818.296630859375)",0.3017810583114624,AP05JED,0.27915974501765206
349,1,"(2087.95195050323, 1388.0433072254964, 2709.739656282681, 1934.2072773375075)","(2268.35302734375, 1699.458984375, 2523.400634765625, 1818.157470703125)",0.30178606510162354,AP05JED,0.27471835165445735
350,1,"(2086.56746644965, 1392.9873185232343, 2709.239331597526, 1938.1001757895795)","(2249.862060546875, 1698.714111328125, 2540.15966796875, 1829.1456298828125)",0.4047832489013672,AP05JEO,0.1807240963582751
351,1,"(2085.29310423218, 1396.9004949479113, 2710.120576907729, 1941.8660426994918)","(2246.8028971354165, 1701.82958984375, 2545.7218424479165, 1838.234619140625)",0,0,0
352,1,"(2084.018742014711, 1400.8136713725885, 2711.001822217932, 1945.6319096094041)","(2243.7437337239585, 1704.945068359375, 2551.2840169270835, 1847.3236083984375)",0,0,0
353,1,"(2082.744379797241, 1404.7268477972655, 2711.883067528135, 1949.3977765193165)","(2240.6845703125, 1708.060546875, 2556.84619140625, 1856.41259765625)",0.5132058262825012,AP05JEO,0.3855677277425576
354,1,"(2086.359834115073, 1408.0827613570113, 2716.443010714824, 1953.7296902266412)","(2256.034423828125, 1732.59814453125, 2555.373779296875, 1846.9215087890625)",0.2907226085662842,AP05JEO,0.5511333951013182
355,1,"(2087.702049076957, 1409.0923881733397, 2718.4935789628003, 1955.4598907165032)","(2255.9228515625, 1732.517578125, 2555.46337890625, 1846.979736328125)",0.29106202721595764,AP05JEO,0.239260389870552
356,1,"(2089.1468909296254, 1410.9264283448188, 2722.7271997775433, 1958.718202657214)","(2266.3350830078125, 1725.6242065429688, 2567.2391357421875, 1854.5502319335938)",0,0,0
357,1,"(2090.5917327822935, 1412.7604685162976, 2726.960820592286, 1961.9765145979252)","(2276.747314453125, 1718.7308349609375, 2579.014892578125, 1862.1207275390625)",0.45662856101989746,AP05JEQ,0.17001748222386864
358,1,"(2089.4230844310714, 1416.1841107299138, 2729.840386305821, 1966.5222189354909)","(2270.3653564453125, 1724.436767578125, 2581.1253662109375, 1873.2572021484375)",0,0,0
359,1,"(2088.2544360798497, 1419.6077529435297, 2732.719952019356, 1971.0679232730563)","(2263.9833984375, 1730.1427001953125, 2583.23583984375, 1884.3936767578125)",0.5141361355781555,AP05JEO,0.25395618487907967
360,1,"(2089.962417802208, 1422.1652544134097, 2733.3059236252197, 1976.5205644515843)","(2271.634765625, 1734.8031005859375, 2583.64208984375, 1874.9036865234375)",0.5434046983718872,AP05JEO,0.23255610820771072
361,1,"(2090.9641044731916, 1422.5467468249847, 2733.4794570759977, 1979.019319562047)","(2271.189697265625, 1734.5343017578125, 2583.621826171875, 1874.946533203125)",0.5412808060646057,AP05JEO,0.22497160942090733
362,1,"(2093.571111945468, 1425.7706849253818, 2735.168155004715, 1984.6724637291777)","(2270.44970703125, 1744.3861083984375, 2584.896240234375, 1875.3614501953125)",0.42027565836906433,AP05JEO,0.3316084334543303
363,1,"(2095.433830186907, 1425.5486228173106, 2740.3289095268924, 1986.1261095997172)","(2267.9765625, 1741.448974609375, 2581.871337890625, 1889.400634765625)",0.5402084589004517,AP05JEO,0.39278433206736557
364,1,"(2091.5512721775744, 1427.1594843679725, 2741.504714427602, 1989.5134467992168)","(2270.895263671875, 1747.694091796875, 2592.60791015625, 1888.3125)",0.45602884888648987,AP05JEO,0.3346274930369641
365,1,"(2088.3797011261286, 1429.9190399455088, 2744.5955537371665, 1992.6931170184712)","(2275.2412109375, 1755.3790283203125, 2593.893798828125, 1895.5499267578125)",0,0,0
366,1,"(2085.208130074683, 1432.6785955230448, 2747.6863930467307, 1995.8727872377253)","(2279.587158203125, 1763.06396484375, 2595.1796875, 1902.787353515625)",0.3676053285598755,AP05JEO,0.24473246952981179
367,1,"(2083.0140438248186, 1433.5648371239863, 2751.308842664644, 1997.0292895637854)","(2279.56787109375, 1763.0009765625, 2595.054931640625, 1902.873779296875)",0.3680249750614166,AP05JEO,0.24473246952981179
368,1,"(2083.1651737941356, 1437.2694554566278, 2753.634129070221, 2000.3181019772733)","(2269.09814453125, 1761.9111328125, 2574.28076171875, 1887.2900390625)",0.3262677490711212,AP05JED,0.4383305358056827
369,1,"(2083.8794163962593, 1441.47755428292, 2756.0584921912414, 2005.0060214572493)","(2276.111328125, 1773.9312744140625, 2555.64794921875, 1893.3936767578125)",0.2588512897491455,AP05JEO,0.28259731372843694
370,1,"(2087.755746453066, 1445.5550699996247, 2760.549713673658, 2010.667193518134)","(2280.85888671875, 1771.8687744140625, 2581.63671875, 1914.8507080078125)",0.48523393273353577,AP05JEO,0.3929752954071562
371,1,"(2088.6409085438395, 1449.1617124558834, 2761.395061058293, 2016.2320442022392)","(2280.87353515625, 1786.384765625, 2586.2646484375, 1903.49365234375)",0.34555211663246155,AP05JEO,0.28943272115118623
372,1,"(2087.458895009518, 1451.5930814281635, 2762.1634340763762, 2019.9882430980815)","(2278.2036946614585, 1784.8482259114583, 2584.3558756510415, 1911.1791178385417)",0,0,0
373,1,"(2086.276881475196, 1454.0244504004438, 2762.93180709446, 2023.7444419939238)","(2275.5338541666665, 1783.3116861979167, 2582.4471028645835, 1918.8645833333333)",0,0,0
374,1,"(2085.094867940875, 1456.455819372724, 2763.7001801125434, 2027.5006408897661)","(2272.864013671875, 1781.775146484375, 2580.538330078125, 1926.550048828125)",0.46753185987472534,AP05JEO,0.5144433117270707
375,1,"(2087.0816568059704, 1461.1216966888155, 2769.7498342212107, 2032.1490451950826)","(2271.97412109375, 1796.7176513671875, 2577.260009765625, 1918.1268310546875)",0.3125063478946686,AP05JEO,0.46526601918092564
376,1,"(2087.2778787884536, 1465.214232337241, 2770.8319425077098, 2036.8670006371658)","(2272.610595703125, 1792.0680541992188, 2587.3388671875, 1929.2404174804688)",0,0,0
377,1,"(2087.474100770937, 1469.306767985666, 2771.9140507942084, 2041.5849560792487)","(2273.2470703125, 1787.41845703125, 2597.417724609375, 1940.35400390625)",0.46039825677871704,AP05JEO,0.399766888196389
378,1,"(2088.1298252861534, 1472.3748315493287, 2772.6963007220775, 2044.9604561880037)","(2275.4384765625, 1792.42138671875, 2598.69287109375, 1945.3482666015625)",0,0,0
379,1,"(2088.78554980137, 1475.4428951129917, 2773.478550649946, 2048.335956296759)","(2277.6298828125, 1797.42431640625, 2599.968017578125, 1950.342529296875)",0,0,0
